Alg.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
ISTA,1,2.236538,2.222223,227.6345449,8.515874,101.7798691,102.4355094
,2,1.301983,1.296398,54.57286457,31.39626219,41.91518981,42.09576424
,3,0.913639,0.910171,20.96912738,92.15269036,22.95121747,23.03866788
,4,0.689542,0.68647,14.74263793,123.9207399,21.38033351,21.47601196
,5,0.545832,0.543181,13.7436034,202.7621029,25.17918224,25.30206948
,6,0.445969,0.443623,13.44094235,409.0478634,30.13873689,30.29811879
,7,0.355939,0.351708,13.26950123,484.6172324,37.28026778,37.72874439
FISTA,1,2.237382,2.222223,227.6345449,18.99743977,101.741475,102.4355094
,2,1.301512,1.296398,54.57286457,71.44697671,41.93035836,42.09576424
,3,1.501187,1.495312,34.46376872,184.599779,22.95767863,23.04787811
,4,1.586262,1.578692,42.25969632,408.9467687,26.64105698,26.76880375
,5,1.54911,1.542905,53.51198812,813.4565588,34.54369807,34.6826202
,6,1.114915,1.089926,67.98657816,1471.339516,60.9791582,62.37724227
,7,0.255355,0.195984,85.11011534,3152.716307,333.3011507,434.270733
