t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.01,1,65.89034324,65.48082272,235.2146592,66.83909352,71.98714422,72.16124924
,2,10.10807892,10.04311455,41.4826064,148.5270195,75.63297054,75.78957683
,3,2.143665962,2.126571158,13.8501435,251.318944,84.52242779,84.6458547
,4,0.529514359,0.525036144,5.924955059,405.1945876,91.06298101,91.13856327
,5,0.1441709,0.139114306,2.886030436,562.881143,95.004526,95.17973531
,6,0.053541686,0.038363221,1.520397877,705.5023183,96.47844247,97.47676437
,7,0.016704198,0.010870074,0.843206994,509.564105,98.01896828,98.71086529
,8,0.00987727,0.003145566,0.484559589,527.8902573,97.96159849,99.35084021
,9,0.007517569,0.000926884,0.285650199,855.5514841,97.36826055,99.67551782
,10,0.054521707,0.000277898,0.171582007,980.0080724,68.2241116,99.8380378
0.0125,1,102.9493619,102.3137855,295.6984276,71.68954446,65.18433908,65.39927983
,2,7.194351744,7.138044677,42.40550312,160.050905,83.03439126,83.16717371
,3,1.021201661,1.010850914,12.37298212,273.7984918,91.74651954,91.83017558
,4,0.167403389,0.163481118,4.788915278,381.5707188,96.50435685,96.58625997
,5,0.03566134,0.02832342,2.117038645,564.3302271,98.31550831,98.66212079
,6,0.014176292,0.005140699,1.011236681,716.1565231,98.59812324,99.49164235
,7,0.013011814,0.000970791,0.507308086,572.6875165,97.43512584,99.80863877
,8,0.021723886,0.00019043,0.262959364,510.6138686,91.73869085,99.92758197
,9,0.024080401,3.87432E-05,0.139410694,833.0669733,82.72700585,99.97220931
,10,0.007589028,8.17425E-06,0.075096565,1009.647548,89.8943074,99.98911501
0.015,1,148.2614598,147.3318511,423.3863875,68.02292929,64.98199655,65.20156164
,2,5.561588717,5.500900119,105.8465937,159.7285487,94.74561389,94.80295026
,3,0.392867044,0.386664494,26.461649,260.7508681,98.51533423,98.538774
,4,0.04001112,0.033818128,6.615411751,399.0998658,99.39518323,99.48879784
,5,0.017763575,0.003417207,1.653852229,589.0856672,98.92592732,99.79337894
,6,0.007336081,0.000385388,0.638555729,680.6232395,98.85114475,99.93964693
,7,0.007215823,4.78532E-05,0.28564793,579.9075098,97.47387527,99.98324749
,8,0.037207205,6.49258E-06,0.131632818,491.5622629,71.73409669,99.99506766
,9,0.021121443,9.55514E-07,0.061855223,895.6169362,65.85342047,99.99845524
,10,0.015934614,1.52182E-07,0.029448602,893.6567074,45.89008412,99.99948323
0.0167,1,183.118613,181.8911742,522.6992379,75.07009423,64.96673427,65.20156124
,2,8.13516612,8.029580799,232.310774,160.9868503,96.49815375,96.54360379
,3,0.631944699,0.619246949,103.249227,272.3167294,99.38794244,99.4002406
,4,0.062942078,0.051706853,45.8885433,403.2315733,99.86283705,99.88732078
,5,0.012707037,0.004699975,20.39491028,563.637091,99.93769506,99.97695516
,6,0.00867477,0.000457597,9.06440332,708.8053893,99.9042985,99.99495171
,7,0.030559368,4.76813E-05,4.028624225,533.9131716,99.24144407,99.99881644
,8,0.008381272,5.37987E-06,1.790492471,525.6255172,99.5319013,99.99969953
,9,0.010531061,6.71277E-07,0.795771972,983.3648581,98.67662328,99.99991564
,10,0.011468552,9.31334E-08,0.353677139,973.6610569,96.75733862,99.99997367
0.0175,1,201.8245264,200.5350196,576.2759146,73.25122159,64.97779601,65.20156153
,2,11.39590311,11.25184968,324.1551963,153.2244266,96.48442992,96.52886956
,3,1.295229118,1.272493976,182.3372838,257.9576481,99.28965207,99.3021208
,4,0.168725864,0.160782255,102.564732,430.117075,99.83549329,99.84323826
,5,0.030797523,0.021670743,57.69265831,588.1586776,99.94661795,99.96243761
,6,0.015541208,0.003044968,32.45212217,1128.18992,99.95211035,99.99061705
,7,0.010033179,0.000446578,18.25431871,531.688492,99.94503668,99.99755358
,8,0.00963106,6.87434E-05,10.26804911,523.4186862,99.9062036,99.99933051
,9,0.033529608,1.13438E-05,5.7757805,984.287089,99.41947919,99.9998036
,10,0.009897896,2.02763E-06,3.248876543,1145.259317,99.69534404,99.99993759
0.02,1,263.6857927,261.9232909,752.6869067,76.33400157,64.96740008,65.20156142
,2,33.40575492,33.05642221,752.6869044,159.8955695,95.56179937,95.6082108
,3,9.238477007,9.114754632,752.6869091,268.4639025,98.77260028,98.78903771
,4,2.779456272,2.738645467,752.686902,401.9928592,99.63072876,99.63615077
,5,0.868925858,0.852111681,752.6866785,729.3895986,99.88455676,99.88679065
,6,0.287356362,0.271098914,752.6869087,1195.384435,99.96182259,99.96398251
,7,0.145228237,0.087985553,752.6868987,598.5083983,99.98070536,99.98831047
,8,0.064754782,0.029202116,752.6861843,534.2780138,99.99139684,99.99612028
,9,0.073659134,0.009964792,752.686909,948.1597866,99.99021384,99.9986761
,10,0.060704499,0.00351604,752.6869096,1180.466531,99.99193496,99.99953287
